Id,Hazard,T1_V1,T1_V2,T1_V3,T1_V4,T1_V5,T1_V6,T1_V7,T1_V8,T1_V9,T1_V10,T1_V11,T1_V12,T1_V13,T1_V14,T1_V15,T1_V16,T1_V17,T2_V1,T2_V2,T2_V3,T2_V4,T2_V5,T2_V6,T2_V7,T2_V8,T2_V9,T2_V10,T2_V11,T2_V12,T2_V13,T2_V14,T2_V15
11166,7,12,18,5,N,K,N,B,B,F,3,H,B,20,1,A,R,Y,89,9,N,11,C,1,34,1,1,2,Y,Y,E,1,1
11172,1,9,19,2,B,H,N,B,B,D,12,B,B,20,1,A,E,N,40,13,N,7,A,2,40,1,8,6,Y,N,E,5,2
11173,11,4,9,1,N,B,N,B,B,D,3,B,B,10,1,A,I,N,31,7,Y,12,A,2,25,1,15,2,Y,N,E,4,6
11174,1,17,2,2,N,B,Y,B,B,B,12,B,B,15,1,A,I,N,64,10,N,3,A,2,34,2,19,3,Y,N,E,2,1
11175,1,12,22,5,N,C,Y,B,B,D,8,L,B,10,1,A,E,N,72,17,Y,13,A,2,34,1,18,4,Y,N,C,2,6
11176,4,4,11,8,N,H,N,B,B,E,7,H,B,20,2,A,L,N,89,9,N,22,B,2,34,1,1,7,Y,N,E,2,1
11177,4,9,1,1,N,H,Y,B,B,E,3,H,B,10,1,A,K,N,26,15,N,14,B,1,40,1,9,7,Y,N,E,1,1
11178,1,16,16,2,B,C,Y,B,B,D,3,B,B,10,1,A,B,N,27,11,Y,6,B,1,22,1,4,5,N,N,A,3,1
11179,2,11,13,1,W,I,N,D,B,E,8,H,B,15,1,A,K,N,19,12,N,8,A,3,34,1,16,3,N,N,A,3,4
11180,4,12,20,6,B,I,N,B,B,E,3,H,C,10,1,A,K,Y,69,15,Y,10,A,2,40,1,5,7,Y,Y,E,2,1
11182,5,13,18,2,N,C,N,B,B,D,12,B,B,10,1,A,I,N,56,15,N,5,B,2,22,1,8,1,Y,N,E,2,1
11183,10,13,20,7,N,K,N,D,B,F,8,J,B,15,2,A,K,N,48,11,Y,12,A,1,37,1,4,3,Y,N,E,2,5
11184,4,13,18,6,N,C,Y,B,B,D,12,L,B,20,1,A,I,N,72,15,N,6,B,4,28,2,12,4,Y,N,E,4,1
11187,1,10,19,2,N,C,Y,B,B,D,3,L,B,10,1,A,I,Y,66,14,Y,9,B,2,40,1,10,5,N,Y,E,2,6
11188,3,6,3,2,N,A,N,B,B,D,12,B,B,5,3,A,I,N,100,8,N,9,A,2,40,1,19,6,Y,N,E,2,1
11196,2,11,11,3,N,C,Y,B,B,D,12,L,A,20,1,A,I,Y,73,6,N,11,A,5,25,3,19,6,Y,Y,E,7,5
11197,2,19,18,5,B,H,N,B,B,D,3,B,B,15,1,A,A,N,75,18,N,16,A,2,34,1,14,7,Y,N,E,2,6
11199,1,15,21,4,E,C,N,B,B,D,8,B,B,10,3,A,I,N,55,18,N,8,B,2,37,1,6,5,N,N,A,4,1
11203,5,11,21,1,N,H,N,B,B,B,8,B,B,10,3,A,E,N,85,24,N,11,A,1,31,1,2,3,N,N,A,2,5
11204,5,11,20,4,W,I,Y,B,B,F,7,J,B,10,1,A,K,N,72,20,N,15,A,1,31,1,6,1,Y,N,C,1,3
11206,7,15,19,1,N,C,Y,B,B,D,12,B,B,20,1,A,I,N,89,13,N,5,B,1,37,1,6,5,Y,N,E,1,1
11207,4,12,6,4,N,C,Y,B,B,D,12,L,B,15,1,A,I,N,43,9,N,9,A,4,22,1,20,7,Y,N,E,4,5
11209,4,7,8,4,B,A,N,B,B,D,3,B,B,5,2,A,B,N,53,8,N,8,A,2,31,1,13,6,Y,N,E,4,1
11212,4,14,17,4,N,A,N,D,B,D,7,L,B,20,1,A,I,N,66,10,Y,10,B,2,28,1,3,7,N,N,A,2,1
11213,6,8,5,3,N,K,Y,B,A,E,12,H,B,10,1,A,K,N,50,10,N,9,A,2,37,1,21,2,N,N,A,6,3
11216,1,8,19,2,W,A,N,B,B,D,3,L,B,20,1,A,D,N,57,10,N,10,B,1,34,1,13,3,N,N,A,2,1
11217,7,8,6,4,N,B,Y,B,B,D,12,B,B,5,1,A,B,N,100,10,Y,17,A,2,40,1,16,7,Y,N,C,2,4
11218,1,12,20,3,B,K,N,B,B,E,12,H,D,15,1,H,K,N,79,8,Y,11,A,1,31,1,5,7,Y,N,E,1,9
11220,4,7,14,2,B,H,N,B,B,E,8,J,B,5,1,A,K,Y,71,7,N,8,B,2,34,1,9,7,Y,Y,E,2,1
11224,1,12,15,4,W,I,N,B,B,E,12,H,B,10,1,A,L,N,50,10,N,12,A,2,28,1,8,6,Y,N,E,2,3
11228,1,6,4,3,S,A,N,B,B,D,3,B,B,10,1,A,B,Y,79,9,Y,6,A,3,31,1,3,2,Y,Y,E,3,2
11229,4,11,3,1,W,B,N,D,A,D,8,E,B,15,1,A,D,N,39,9,N,16,A,3,34,2,17,6,Y,N,E,3,5
11231,7,11,4,3,N,C,N,B,B,D,8,L,B,15,1,A,I,N,70,27,Y,9,A,2,31,1,18,7,Y,N,D,2,2
11232,4,19,8,6,C,K,Y,B,B,E,12,H,B,15,1,A,J,N,56,22,N,9,A,3,37,1,7,4,N,N,A,4,3
11235,1,9,18,4,E,K,Y,B,B,E,3,J,B,20,3,A,O,N,34,10,N,16,A,1,40,1,14,7,N,N,A,1,11
11239,25,19,17,5,B,I,Y,B,B,E,7,J,B,10,1,A,J,N,65,10,Y,11,A,2,34,1,19,3,Y,N,E,2,8
11240,1,19,16,4,N,H,N,B,B,E,12,H,B,15,1,A,J,N,48,12,N,14,B,3,37,1,10,6,N,N,A,3,1
11241,1,10,15,2,N,H,N,B,B,E,7,H,B,10,1,C,R,Y,26,19,N,12,E,2,40,1,1,4,Y,Y,C,4,3
11242,4,19,23,4,N,B,Y,B,B,D,3,B,B,20,1,A,I,N,60,8,N,4,C,2,40,1,25,6,Y,N,D,4,1
11246,2,7,14,3,B,H,Y,B,B,F,8,H,B,10,3,A,R,N,93,11,Y,12,E,2,40,1,1,6,N,N,E,2,5
11247,1,12,10,4,B,K,N,B,D,F,2,H,B,10,2,A,K,N,67,11,Y,9,C,2,40,1,18,6,Y,N,C,2,1
11252,1,12,13,3,E,K,N,B,B,E,8,H,B,5,1,H,N,N,49,11,N,13,A,4,37,1,12,1,Y,N,C,4,1
11254,7,3,1,1,N,H,N,B,B,E,3,I,B,15,1,A,J,N,52,10,N,6,B,2,34,1,7,2,Y,N,C,2,1
11256,1,7,3,2,B,A,N,B,B,D,12,B,B,20,1,A,B,N,88,9,N,10,A,3,40,1,6,3,Y,N,D,5,1
11257,2,8,20,3,N,B,Y,B,B,D,12,L,B,15,1,A,I,N,59,11,N,14,A,1,37,1,18,3,Y,N,D,1,10
11258,1,6,14,4,B,A,Y,B,B,D,3,B,B,20,3,A,B,N,48,9,N,8,A,1,28,1,20,4,Y,N,C,3,2
11262,4,18,12,5,N,C,N,B,B,D,12,B,B,10,1,A,I,N,38,13,N,11,C,2,37,1,18,3,Y,N,E,2,1
11264,1,13,6,4,E,C,Y,B,B,D,12,B,B,5,1,A,I,N,69,28,N,10,A,2,34,1,7,4,N,N,A,4,2
11266,23,2,15,7,N,K,Y,B,C,E,8,M,B,20,1,A,R,N,30,12,Y,5,C,2,28,1,18,5,Y,N,D,4,1
11271,2,9,2,1,N,C,N,B,D,D,12,B,B,20,1,C,G,N,27,13,Y,10,A,2,40,1,5,2,N,N,A,4,6
11274,1,19,16,4,N,C,N,B,B,D,12,B,B,20,1,A,I,Y,75,8,Y,6,C,2,37,2,20,4,Y,Y,C,4,1
11276,9,13,8,1,B,H,Y,B,B,E,8,H,B,15,3,A,K,N,23,15,N,7,B,2,25,1,1,3,Y,N,E,2,1
11278,4,7,13,7,N,A,Y,B,B,D,3,B,B,10,1,A,B,N,39,7,N,4,B,2,37,1,17,7,N,N,A,2,1
11279,3,12,7,5,C,H,N,B,B,E,12,H,B,15,1,A,M,N,50,14,N,4,B,2,34,1,9,6,N,N,A,2,1
11280,8,8,23,4,N,C,Y,B,B,D,8,L,C,10,1,A,A,N,90,23,N,6,C,2,40,2,14,3,Y,N,E,2,1
11283,3,2,18,7,N,A,Y,B,B,D,3,L,B,20,1,A,I,Y,92,10,Y,14,A,2,22,1,20,6,Y,Y,E,2,1
11284,1,2,9,6,N,K,Y,B,B,E,2,H,B,15,1,A,R,N,43,11,N,8,A,2,37,1,25,7,Y,N,E,2,5
11285,5,3,7,5,N,A,Y,B,B,D,8,L,B,15,1,A,B,Y,85,9,Y,9,C,2,28,1,25,4,Y,Y,C,3,1
11291,1,12,8,6,E,K,Y,B,B,F,12,H,B,10,1,A,K,Y,33,22,Y,7,A,2,40,1,21,2,Y,Y,E,4,2
11292,1,13,22,3,E,H,Y,B,B,D,8,L,B,5,1,A,I,N,32,25,N,3,B,2,37,1,9,1,N,N,A,2,1
11293,10,7,15,2,B,I,Y,B,B,E,3,H,B,10,1,A,R,Y,10,9,N,16,A,2,34,1,12,1,Y,Y,E,2,3
11295,1,2,12,4,N,K,Y,B,B,E,12,H,B,20,2,N,L,N,56,16,N,10,A,2,31,1,24,6,Y,N,E,5,2
11300,2,16,17,4,B,H,N,B,B,E,12,H,B,10,3,A,N,N,18,7,N,10,B,2,34,1,13,3,N,N,A,2,1
11301,1,5,13,5,N,A,N,B,B,D,8,B,B,10,1,A,B,N,64,5,Y,17,A,1,34,1,20,6,Y,N,C,1,1
11302,4,2,15,2,C,H,N,B,B,E,8,H,B,15,1,A,K,N,50,11,N,6,B,2,22,1,23,4,Y,N,E,2,1
11305,9,16,18,7,B,H,N,B,B,E,3,H,B,10,1,A,K,N,46,9,Y,5,B,1,40,1,11,5,Y,N,E,1,1
11307,9,4,15,3,B,H,Y,B,B,E,8,H,B,10,3,A,R,N,64,8,N,13,B,3,40,1,10,6,Y,N,E,4,1
11311,2,7,6,4,B,I,Y,B,B,F,3,J,B,20,3,N,K,N,71,9,Y,13,A,2,31,1,14,4,Y,N,E,2,5
11313,1,1,12,4,C,H,Y,B,B,E,8,H,B,10,3,N,K,N,29,18,N,8,B,2,31,1,21,6,N,N,E,4,1
11315,4,9,24,3,N,B,Y,B,B,D,8,A,B,20,1,A,E,N,93,14,N,5,C,2,37,1,17,3,Y,N,E,2,1
11317,11,19,19,4,N,K,N,B,B,E,3,H,B,10,1,A,J,N,48,12,N,17,A,2,25,1,23,7,Y,N,C,2,11
11319,1,10,7,5,N,H,N,B,B,D,8,L,B,15,3,A,G,N,53,24,N,3,A,1,25,1,11,4,Y,N,E,1,2
11320,4,8,18,3,N,H,N,B,B,D,8,A,B,15,1,A,D,N,35,16,N,17,A,3,37,1,14,6,N,N,A,3,3
11322,1,8,16,5,N,K,N,B,B,E,2,H,B,15,1,A,R,N,47,17,N,17,A,2,37,1,9,4,Y,N,E,2,9
11323,1,5,8,6,B,A,Y,B,B,D,3,B,B,10,3,A,B,Y,67,9,N,8,C,1,25,1,14,1,Y,Y,E,1,1
11328,6,7,10,2,B,H,N,B,B,E,8,N,B,10,3,A,R,N,23,5,N,4,B,2,31,1,8,7,Y,N,E,2,1
11329,1,5,10,2,C,H,Y,B,B,E,12,H,B,15,1,A,R,N,10,9,N,10,B,2,31,1,18,6,N,N,A,3,1
11332,4,15,20,5,N,K,Y,B,B,E,8,I,B,20,1,A,K,N,51,8,N,16,A,2,34,1,7,7,Y,N,C,2,6
11336,7,16,16,2,B,A,N,B,B,D,3,A,B,20,3,A,B,N,37,8,N,10,A,3,40,1,2,7,N,N,A,3,9
11338,1,7,3,2,N,A,N,B,B,B,3,B,B,15,2,A,I,N,90,10,N,13,A,2,22,1,12,1,Y,N,C,5,3
11340,1,6,4,3,B,I,N,B,B,E,12,H,B,20,2,A,R,N,45,10,N,17,A,2,40,1,13,4,N,N,E,2,3
11341,1,5,9,6,C,H,N,B,B,E,12,H,B,20,1,A,J,N,29,9,Y,6,B,1,34,1,9,4,N,N,A,1,1
11342,5,4,17,1,N,K,Y,B,B,E,7,I,B,10,1,A,R,N,87,13,N,22,A,1,25,1,7,6,Y,N,D,1,12
11344,1,3,15,2,N,K,Y,B,B,E,12,H,B,15,3,A,R,N,15,17,N,11,A,2,37,1,1,1,Y,N,E,2,1
11347,5,18,14,2,B,K,Y,B,B,E,8,M,B,15,3,A,R,Y,72,9,N,11,A,2,28,1,13,7,Y,Y,E,2,4
11349,1,13,23,3,N,C,Y,A,B,D,3,L,B,20,1,A,I,N,48,17,Y,3,B,2,34,1,19,6,N,N,A,2,1
11352,7,17,17,2,B,J,Y,B,A,E,8,J,B,10,1,A,N,N,60,7,Y,9,A,3,34,1,16,2,Y,N,D,3,9
11355,1,12,19,5,N,C,N,B,B,B,7,L,B,15,3,A,I,Y,66,20,Y,18,A,2,40,1,1,3,Y,Y,E,2,2
11356,1,16,4,3,N,K,Y,B,B,E,3,H,B,20,1,A,R,Y,35,14,N,9,A,1,37,1,16,3,Y,Y,E,1,4
11363,5,15,22,2,E,K,Y,B,B,E,8,H,B,20,1,A,K,N,25,23,N,10,A,2,28,1,18,6,N,N,A,3,4
11367,10,5,8,5,B,A,Y,B,B,D,8,B,B,20,1,A,B,Y,73,7,N,6,A,4,31,1,10,4,Y,Y,E,4,5
11370,1,2,7,3,N,A,N,B,B,D,3,B,B,15,3,N,B,N,51,11,N,7,D,1,40,1,23,6,Y,N,E,4,1
11374,1,15,6,4,N,H,Y,B,B,E,8,H,B,10,2,A,R,N,9,12,N,6,B,2,37,1,19,7,N,N,A,3,1
11376,1,17,13,4,B,A,N,D,B,D,8,B,B,15,1,A,I,N,53,8,N,8,A,3,40,1,7,2,N,N,A,4,4
11378,3,4,5,4,N,A,N,B,B,D,2,B,B,20,3,A,B,N,59,6,Y,8,A,2,34,1,14,4,Y,N,E,2,2
11380,7,4,7,5,G,K,Y,B,D,E,8,M,B,20,1,C,K,N,98,11,N,5,C,2,31,1,14,3,Y,N,D,4,1
11381,4,9,18,4,B,C,N,B,B,D,8,L,B,15,1,A,B,N,68,16,Y,4,B,2,40,1,8,1,Y,N,E,2,1
11382,2,10,3,2,N,C,N,B,B,D,2,L,B,20,1,A,E,Y,84,13,Y,15,C,2,25,1,19,4,N,Y,E,4,4
11383,2,5,19,3,B,A,Y,B,B,B,3,B,B,20,1,A,I,N,77,8,N,4,A,2,37,1,12,7,Y,N,E,2,1
11384,2,16,17,2,B,A,Y,B,B,D,2,B,B,10,1,A,I,Y,82,8,N,9,B,5,40,2,17,5,N,Y,C,5,1
11387,1,4,5,4,N,C,Y,B,B,D,7,B,B,10,2,A,B,Y,85,10,N,7,A,2,25,1,1,5,Y,Y,C,2,4
11388,4,8,20,6,B,H,Y,B,B,D,12,A,D,20,1,A,D,N,99,25,N,14,A,3,34,1,12,5,Y,N,E,3,11
11389,10,18,16,3,S,H,N,B,C,D,12,B,B,20,1,A,E,N,64,11,Y,10,A,2,31,1,8,4,N,N,A,5,3
11391,3,17,21,2,N,H,N,B,B,D,2,L,B,10,2,C,I,N,11,16,N,17,A,2,28,1,17,2,N,N,A,3,10
11392,1,15,21,3,N,H,Y,B,B,D,3,B,B,10,1,A,E,N,42,13,Y,6,A,2,28,1,16,4,Y,N,B,2,2
11393,4,12,20,3,E,A,N,B,B,D,8,L,B,20,1,D,I,Y,90,19,N,13,A,5,25,2,6,3,Y,Y,E,5,5
11395,2,18,18,7,N,C,N,B,B,D,3,B,B,10,1,A,I,N,29,12,Y,13,A,2,22,1,20,3,Y,N,E,2,7
11397,20,9,20,5,N,C,Y,D,B,D,7,E,B,10,1,A,A,N,48,12,Y,11,A,1,22,1,1,4,N,N,A,1,1
11400,1,14,22,1,E,H,N,B,B,D,3,A,D,15,2,A,I,N,80,14,Y,5,B,1,31,1,13,3,Y,N,C,1,1
11401,3,15,16,4,N,K,Y,B,B,E,7,H,B,10,1,A,R,Y,100,12,N,16,A,1,37,1,10,2,N,Y,E,1,3
11403,1,12,7,5,N,C,N,B,B,D,3,B,B,20,1,A,I,N,95,10,N,11,A,2,28,1,10,4,Y,N,E,2,5
11404,11,14,22,1,E,K,Y,B,B,E,3,H,B,5,3,D,R,Y,87,27,N,22,C,1,28,1,4,7,Y,Y,E,1,3
11405,4,16,17,2,B,B,N,B,B,D,7,B,B,10,3,A,G,N,8,9,N,6,C,2,40,1,23,1,N,N,E,2,1
11408,2,2,5,4,C,K,N,B,B,E,8,H,B,20,2,N,R,N,74,9,N,5,A,2,25,1,11,6,N,N,E,2,1
11410,3,4,4,3,B,H,N,B,B,E,3,H,B,20,3,A,R,N,47,7,N,14,B,3,40,1,6,4,Y,N,E,3,1
11412,7,12,19,4,N,H,Y,B,B,E,8,J,B,20,1,A,K,N,54,20,N,12,B,2,37,1,1,3,Y,N,E,2,1
11413,1,1,5,7,C,K,N,B,B,E,3,J,B,15,2,N,L,N,24,13,N,9,A,3,25,1,21,3,N,N,E,1,1
11414,1,14,9,2,E,K,Y,B,B,E,7,H,B,5,3,D,R,N,87,17,Y,14,A,1,31,1,25,4,Y,N,E,1,1
11416,1,12,22,1,B,I,Y,B,A,E,12,H,D,15,1,D,R,N,86,17,N,14,A,3,34,1,6,4,Y,N,E,3,11
11417,1,15,19,2,N,K,N,B,B,E,7,H,B,10,3,A,K,N,76,10,N,15,A,1,31,1,6,4,Y,N,D,1,10
11420,1,13,19,4,N,K,N,B,B,E,12,H,B,10,1,A,N,Y,63,7,N,22,A,2,31,2,7,6,N,Y,E,2,2
11424,1,1,7,2,N,K,Y,B,B,E,3,H,B,10,1,A,L,N,41,18,N,18,C,2,34,1,21,7,Y,N,C,2,5
11426,3,2,16,2,C,H,N,B,B,E,3,J,B,20,1,N,R,N,49,10,N,4,B,6,37,1,23,7,Y,N,E,2,5
11430,4,12,3,2,N,K,Y,B,B,E,3,H,B,15,1,A,R,N,25,10,N,4,A,2,31,1,5,7,Y,N,E,2,1
11433,5,6,18,1,N,B,Y,B,B,D,3,B,B,10,1,A,B,N,31,9,Y,6,A,2,34,1,21,7,N,N,C,2,3
11434,4,7,12,3,B,A,Y,D,B,D,8,B,B,10,1,A,H,N,74,9,N,12,A,3,25,1,24,4,Y,N,E,4,9
11436,4,11,8,4,W,I,N,B,B,E,8,H,D,15,1,A,K,N,36,15,Y,11,A,4,40,1,4,4,Y,N,E,4,3
11439,3,13,12,5,N,C,N,B,B,D,3,B,B,20,3,A,B,N,68,37,Y,14,A,2,31,1,1,6,N,N,A,2,10
11441,1,8,6,4,N,B,N,B,B,D,8,L,B,20,1,A,E,Y,89,14,Y,16,A,2,40,1,3,3,Y,Y,D,3,3
11442,2,6,14,7,B,J,Y,B,B,E,12,H,B,10,3,A,K,N,90,6,Y,21,A,1,28,1,20,1,Y,N,E,2,10
11443,1,6,1,1,B,A,N,B,B,D,8,B,B,15,3,A,B,N,39,9,N,9,A,2,34,1,1,6,Y,N,E,3,1
11448,7,10,23,4,N,H,N,B,B,D,3,L,B,15,1,A,E,N,43,14,Y,10,B,2,31,1,8,2,Y,N,E,6,1
11450,4,8,5,3,B,C,Y,B,B,D,7,B,B,5,1,A,B,N,64,11,N,9,A,3,40,1,16,4,Y,N,E,5,4
11453,5,9,7,2,N,C,N,B,B,D,8,B,B,20,1,A,E,Y,43,15,N,4,C,5,25,1,1,4,Y,Y,E,5,5
11454,4,2,4,3,N,A,N,B,B,D,3,B,B,20,1,A,B,N,74,9,N,4,B,2,31,1,2,6,N,N,E,3,1
11456,7,19,1,1,N,B,N,B,B,D,3,B,B,10,1,A,I,N,44,9,N,6,A,1,28,1,21,7,Y,N,C,3,1
11460,7,1,9,3,N,K,Y,B,B,E,12,H,B,20,1,A,R,N,54,17,Y,22,A,1,40,1,24,7,Y,N,E,3,3
11461,3,19,21,4,W,C,Y,B,B,B,2,L,B,10,1,A,I,N,65,23,N,10,A,1,25,1,16,3,N,N,A,1,6
11462,2,10,23,2,N,C,N,B,B,D,3,L,B,5,1,H,I,Y,61,21,N,5,C,6,28,3,2,7,Y,Y,E,6,2
11463,8,5,16,4,B,A,Y,B,B,D,7,B,B,20,2,A,B,N,31,7,Y,13,A,2,28,1,18,3,N,N,A,2,4
11464,5,6,18,4,B,J,Y,B,B,E,7,J,B,15,1,A,N,Y,59,11,Y,18,A,2,25,1,1,6,Y,Y,E,2,1
11468,4,5,17,2,S,A,N,B,B,D,12,D,B,10,1,A,H,N,18,9,Y,10,A,2,25,1,17,4,Y,N,E,2,1
11471,7,11,8,5,N,K,N,B,B,E,3,H,C,10,1,A,N,N,50,21,N,10,A,2,40,1,19,7,Y,N,E,2,4
11474,1,8,20,1,N,H,Y,D,B,B,8,E,B,20,1,A,E,N,72,18,Y,12,A,3,28,1,10,4,Y,N,E,3,9
11476,1,15,22,2,C,K,N,B,B,E,8,I,B,20,1,A,L,N,34,13,N,8,A,1,31,1,16,1,N,N,D,1,2
11477,4,17,17,1,N,K,Y,B,B,E,3,J,B,15,3,A,J,N,43,10,Y,14,A,4,40,1,18,2,Y,N,E,4,6
11481,7,9,13,1,N,K,N,B,B,E,12,H,B,10,1,A,R,N,79,13,N,9,A,2,40,1,2,2,Y,N,E,4,2
11482,1,13,17,9,E,K,Y,B,B,F,12,H,B,15,1,W,K,Y,95,17,N,15,A,2,40,1,6,4,Y,N,E,2,11
11483,7,16,16,6,B,K,N,B,B,E,7,H,B,15,2,A,R,Y,98,10,N,9,A,3,22,1,1,7,Y,Y,E,5,3
11485,1,1,17,4,C,A,N,D,B,D,3,L,B,10,1,A,B,N,28,13,N,8,A,2,31,1,21,5,N,N,E,5,1
11490,1,15,16,5,N,H,Y,B,B,E,8,N,B,15,1,A,L,N,25,15,N,9,B,2,37,1,5,2,N,N,A,5,1
11494,4,19,9,3,E,H,Y,B,B,D,7,B,B,10,3,H,I,Y,46,19,Y,7,C,3,22,1,17,5,Y,Y,E,3,3
11496,7,17,5,3,N,H,N,B,B,E,3,H,B,15,1,A,R,N,55,9,N,10,B,1,28,1,13,3,N,N,A,1,1
11497,1,8,5,4,N,C,N,B,B,B,8,B,B,20,2,A,B,N,66,19,N,16,E,2,28,1,1,6,Y,N,C,2,4
11500,8,19,8,1,E,H,N,B,B,D,3,L,B,15,3,A,E,N,34,26,N,11,A,3,22,1,18,2,N,N,A,3,6
11501,1,18,21,1,N,H,Y,C,B,E,8,H,B,20,1,A,K,N,64,16,Y,3,B,2,22,1,3,4,N,N,A,3,1
11503,1,6,5,1,B,A,N,B,B,B,12,B,B,15,3,A,C,N,38,13,N,11,A,1,22,1,19,4,Y,N,E,1,3
11505,10,9,6,4,N,K,N,D,C,F,8,H,B,5,1,A,N,N,78,12,N,8,A,2,34,1,10,2,Y,N,C,5,4
11506,4,7,18,2,B,H,N,B,B,D,8,B,B,10,1,A,E,N,61,9,N,5,C,1,40,1,6,4,Y,N,C,1,1
11509,1,14,19,4,N,C,Y,B,B,D,3,B,B,20,1,A,I,Y,58,16,N,15,A,2,40,1,13,1,Y,Y,E,2,2
11512,1,5,11,4,E,K,Y,B,B,E,7,H,B,10,1,A,K,N,56,11,N,9,A,2,37,1,11,7,Y,N,E,2,1
11515,1,3,18,5,B,I,Y,B,B,E,12,H,B,15,1,S,R,N,96,19,N,16,A,1,37,1,18,6,Y,N,C,1,9
11517,2,2,16,6,N,B,N,B,A,D,8,L,B,20,1,A,I,N,52,9,N,4,B,2,40,1,13,6,Y,N,E,2,1
11519,1,8,22,3,N,K,Y,B,B,E,3,H,B,15,1,A,J,N,32,17,Y,3,A,2,22,2,18,6,N,N,A,2,3
11520,1,13,21,7,N,C,N,B,A,D,2,L,B,10,1,A,I,N,97,22,Y,13,A,4,37,1,20,3,Y,N,E,4,10
11522,3,4,13,2,G,B,Y,B,B,D,3,B,B,10,2,A,I,N,90,13,Y,17,A,2,37,1,21,3,Y,N,E,2,1
11525,2,15,18,2,N,K,N,B,B,E,8,J,B,5,1,A,K,N,18,8,Y,9,A,2,31,1,17,7,N,N,A,4,3
11529,1,11,8,2,W,C,N,B,B,D,3,L,B,10,1,A,I,N,68,20,Y,13,A,2,40,1,17,7,Y,N,E,2,2
11531,2,19,18,3,N,B,Y,B,B,D,8,B,B,10,1,A,I,N,79,8,Y,4,B,2,28,1,2,3,N,N,A,2,1
11538,1,1,5,7,C,A,N,B,B,D,3,B,B,15,3,N,C,N,37,11,Y,6,A,1,37,1,21,5,Y,N,D,4,3
11540,13,19,10,3,B,H,N,B,C,E,7,H,B,15,1,A,R,N,59,15,N,3,B,1,34,1,10,4,Y,N,E,1,1
11541,2,5,15,2,B,A,N,B,B,D,12,B,B,10,1,A,B,N,48,9,N,11,A,3,40,1,8,3,Y,N,E,4,7
11542,2,5,16,2,B,K,Y,B,B,E,12,H,B,15,3,A,R,Y,64,7,Y,13,C,2,31,1,10,1,Y,Y,E,2,2
11545,1,3,15,2,N,H,N,A,B,D,8,B,B,15,1,A,B,N,52,13,N,3,B,2,34,1,17,4,Y,N,C,2,1
11547,4,6,2,1,G,K,Y,B,B,E,3,J,B,15,1,A,K,N,50,13,Y,7,A,2,28,1,17,3,Y,N,D,3,2
11550,8,17,19,3,N,B,N,B,B,D,8,B,B,5,1,C,I,N,71,8,N,9,A,2,40,1,2,1,N,N,A,4,3
11552,1,6,7,5,B,A,Y,B,B,D,3,B,B,20,3,A,A,N,76,9,Y,11,A,2,37,1,25,2,Y,N,C,2,1
11553,3,4,8,5,W,A,N,B,B,D,8,B,B,20,1,A,B,N,74,8,N,17,B,2,22,1,16,3,Y,N,C,2,1
11555,1,8,13,4,E,H,Y,B,B,D,2,B,B,20,2,A,B,N,73,14,N,7,A,2,40,1,1,7,Y,N,E,4,2
11556,5,7,8,1,B,A,Y,B,B,D,8,B,B,15,3,A,B,Y,60,8,N,10,A,2,25,1,15,1,Y,Y,E,3,1
11557,4,8,17,3,N,H,Y,B,B,C,7,B,D,15,3,A,B,N,49,19,N,8,C,2,37,1,1,5,Y,N,E,2,1
11558,1,13,23,7,E,C,Y,B,B,D,2,B,B,20,1,A,I,Y,65,14,N,9,A,1,28,1,15,2,Y,Y,E,1,3
11559,1,1,19,6,N,D,N,B,B,D,12,L,B,5,1,A,I,N,21,17,N,20,B,2,37,1,21,5,N,N,D,1,1
11563,6,9,6,4,B,I,N,C,B,E,2,J,B,20,3,A,K,N,80,16,Y,15,A,1,22,1,2,6,Y,N,E,1,11
11564,3,6,10,2,S,I,Y,B,B,F,3,H,B,15,1,A,P,Y,74,7,Y,10,A,4,40,2,25,6,Y,Y,E,4,2
11565,7,1,11,5,C,D,N,B,B,C,8,B,B,20,2,A,B,Y,23,17,N,16,A,3,37,1,21,4,N,N,E,2,3
11566,14,1,19,3,C,B,N,B,B,B,8,B,B,20,3,C,B,N,35,18,N,10,A,2,34,1,21,7,Y,N,C,4,1
11568,1,5,16,2,C,K,N,B,B,E,2,H,B,10,1,D,P,N,81,6,N,14,A,1,22,1,21,6,Y,N,C,1,3
11569,1,6,5,4,B,A,N,B,B,D,3,B,B,10,1,S,C,N,75,9,N,9,A,2,40,1,5,5,Y,N,D,5,4
11570,4,18,4,3,N,B,Y,B,B,D,12,B,B,5,2,A,I,N,19,9,N,2,B,2,40,1,17,7,Y,N,E,2,1
11571,1,14,6,4,N,C,N,B,B,D,8,B,B,20,1,A,I,Y,90,17,N,11,A,6,34,1,25,6,Y,Y,A,6,6
11575,4,7,14,4,B,I,N,B,B,E,2,J,B,10,3,A,K,N,34,7,Y,11,A,2,37,1,11,6,Y,N,E,2,8
11576,1,10,13,3,N,A,Y,B,C,D,12,L,B,20,1,A,I,N,31,8,N,5,B,2,31,1,13,3,Y,N,E,4,1
11579,1,5,7,5,N,K,Y,B,B,E,7,H,B,20,3,N,K,Y,50,9,Y,6,C,2,40,1,14,3,Y,Y,E,2,3
